127.0.0.1, 2018-01-30 00:02:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.135134
127.0.0.1, 2018-01-30 00:02:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.591662
127.0.0.1, 2018-01-30 00:03:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136143
127.0.0.1, 2018-01-30 00:03:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.545250
127.0.0.1, 2018-01-30 00:04:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111129
127.0.0.1, 2018-01-30 00:04:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.581871
127.0.0.1, 2018-01-30 00:05:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125350
127.0.0.1, 2018-01-30 00:05:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.652214
127.0.0.1, 2018-01-30 00:06:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098386
127.0.0.1, 2018-01-30 00:06:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.516125
127.0.0.1, 2018-01-30 00:07:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.158518
127.0.0.1, 2018-01-30 00:07:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.663289
127.0.0.1, 2018-01-30 00:08:12, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.054502
127.0.0.1, 2018-01-30 00:08:12, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.044926
127.0.0.1, 2018-01-30 00:08:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.060351
127.0.0.1, 2018-01-30 00:08:34, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.828771
127.0.0.1, 2018-01-30 00:09:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072148
127.0.0.1, 2018-01-30 00:09:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.968774
127.0.0.1, 2018-01-30 00:10:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.141042
127.0.0.1, 2018-01-30 00:10:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 1.052699
127.0.0.1, 2018-01-30 00:11:25, GET, /simpleNN, HTTP/1.1, 200, 190.947956
127.0.0.1, 2018-01-30 00:11:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.581911
127.0.0.1, 2018-01-30 00:11:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.176484
127.0.0.1, 2018-01-30 00:12:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.115790
127.0.0.1, 2018-01-30 00:12:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.552426
127.0.0.1, 2018-01-30 00:13:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.226339
